Date,Open,High,Low,Close,Adj Close,Volume
2020-10-06,127.599998,130.000000,123.099998,124.599998,123.786461,227507
2020-10-07,124.300003,126.000000,123.099998,123.699997,122.892334,100467
2020-10-08,123.599998,125.300003,119.599998,120.199997,119.415184,112837
2020-10-09,120.000000,124.099998,118.800003,121.500000,120.706703,112354
2020-10-12,123.099998,125.099998,121.000000,123.400002,122.594299,123812
2020-10-13,124.000000,132.600006,122.599998,126.099998,125.276665,404349
2020-10-14,126.800003,128.800003,123.699997,124.300003,123.488419,272867
2020-10-15,124.699997,124.699997,122.300003,122.800003,121.998215,70487
2020-10-16,123.099998,125.699997,122.800003,123.800003,122.991684,82530
2020-10-19,130.000000,132.100006,127.500000,130.399994,129.548584,392351
2020-10-20,132.699997,133.199997,125.800003,128.100006,127.263611,267467
2020-10-21,128.100006,128.699997,124.500000,124.900002,124.084503,181342
2020-10-22,124.699997,128.100006,123.199997,125.300003,124.481895,137493
2020-10-23,125.900002,129.000000,124.199997,125.099998,124.283195,218814
2020-10-26,126.000000,126.000000,116.400002,117.800003,117.030861,209404
2020-10-27,117.199997,123.199997,114.000000,121.699997,120.905396,130667
2020-10-28,122.500000,123.300003,120.000000,120.500000,119.713226,29198
2020-10-30,116.000000,119.500000,114.099998,118.400002,117.626945,70296
2020-11-02,119.300003,121.900002,115.099998,120.500000,119.713226,80135
2020-11-03,120.699997,123.699997,120.000000,121.599998,120.806046,116643
2020-11-04,125.599998,126.699997,121.900002,122.900002,122.097565,195193
2020-11-05,123.199997,127.800003,122.000000,125.599998,124.779930,273788
2020-11-06,125.599998,126.599998,123.500000,124.099998,123.289726,76747
2020-11-09,124.000000,125.900002,122.000000,122.900002,122.097565,132989
2020-11-10,122.800003,129.199997,121.500000,124.699997,123.885803,276403
2020-11-11,125.400002,129.699997,124.300003,126.800003,125.972099,291055
2020-11-12,127.900002,130.500000,122.500000,123.500000,122.693642,242895
2020-11-13,123.900002,129.399994,123.199997,125.199997,124.382538,166666
2020-11-16,126.400002,128.000000,124.800003,125.500000,124.680580,85149
2020-11-17,125.800003,125.800003,123.500000,124.400002,123.587769,97962
2020-11-18,124.000000,126.500000,123.699997,124.300003,123.488419,79903
2020-11-19,124.500000,132.000000,122.599998,127.500000,126.667526,800098
2020-11-20,129.199997,140.699997,127.300003,137.500000,136.602234,793719
2020-11-23,138.899994,149.800003,138.500000,145.300003,144.351303,954664
2020-11-24,148.000000,150.399994,137.800003,138.600006,137.695053,777748
2020-11-25,138.699997,144.899994,137.699997,137.800003,136.900284,350386
2020-11-26,138.800003,149.500000,135.699997,143.600006,142.662415,1155604
2020-11-27,146.399994,146.500000,136.699997,138.600006,137.695053,363901
2020-11-30,138.000000,138.000000,131.000000,131.399994,130.542053,176687
2020-12-01,132.199997,137.600006,131.500000,136.899994,136.006149,215633
2020-12-02,136.800003,138.899994,133.899994,134.899994,134.019211,190740
2020-12-03,135.500000,136.199997,132.899994,133.699997,132.827042,139158
2020-12-04,133.699997,134.500000,132.000000,133.399994,132.528992,84096
2020-12-07,133.399994,134.199997,130.000000,130.399994,129.548584,96053
2020-12-08,130.000000,132.199997,129.800003,130.300003,129.449249,73843
2020-12-09,131.100006,131.800003,129.500000,129.899994,129.051849,100583
2020-12-10,129.800003,130.899994,128.800003,130.000000,129.151199,81369
2020-12-11,129.800003,136.399994,128.600006,133.000000,132.131622,305754
2020-12-14,133.699997,138.399994,133.600006,134.899994,134.019211,242369
2020-12-15,135.500000,135.600006,128.899994,132.199997,131.336838,105211
2020-12-16,132.500000,134.500000,129.500000,130.800003,129.945984,70032
2020-12-17,131.100006,133.000000,130.500000,130.500000,129.647934,67719
2020-12-18,131.500000,134.899994,130.399994,132.800003,131.932922,118164
2020-12-21,132.199997,139.899994,129.399994,137.800003,136.900284,375833
2020-12-22,141.000000,151.500000,140.300003,151.500000,150.510818,516232
2020-12-23,164.800003,166.600006,154.300003,156.000000,154.981445,1534794
2020-12-24,158.500000,159.600006,149.199997,149.600006,148.623230,497938
2020-12-25,149.000000,152.199997,143.500000,143.699997,142.761749,414241
2020-12-28,145.000000,152.699997,142.500000,148.500000,147.530411,749937
2020-12-29,148.899994,149.000000,144.800003,145.300003,144.351303,195935
2020-12-30,148.199997,152.899994,145.000000,145.500000,144.550003,530857
2020-12-31,145.500000,146.899994,143.500000,145.199997,145.199997,186687
2021-01-04,145.199997,152.800003,144.899994,148.600006,148.600006,351150
2021-01-05,147.699997,149.000000,144.199997,145.000000,145.000000,210275
